Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
アジア・太平洋地域,150000,160000,150000,140000,140000,140000,130000,120000,98000,88000,83000,85000,84000,79000,78000,77000,74000,71000,69000,68000,67000,66000,65000,62000,61000,60000,59000,58000,58000,57000,58000,59000,60000,61000
カリブ海地域,3200,3400,3500,3700,3800,3800,3600,3400,3200,3200,3100,3100,3000,2900,2900,2800,2700,2700,2600,2500,2500,2500,2400,2300,2200,2200,2100,2100,2100,2100,2000,1900,1800,1800
東部・南部アフリカ,130000,140000,150000,160000,170000,170000,170000,170000,170000,160000,160000,160000,160000,150000,150000,140000,130000,130000,120000,120000,110000,110000,99000,93000,87000,80000,73000,66000,61000,55000,50000,47000,41000,38000
東ヨーロッパ・中央アジア,2700,3100,3700,4800,6400,8700,11000,12000,12000,12000,12000,12000,13000,14000,15000,16000,18000,19000,20000,20000,20000,20000,18000,16000,14000,12000,10000,9100,7900,7000,6900,6900,7100,7400
中南米（ラテンアメリカ）,12000,13000,14000,15000,16000,16000,17000,17000,18000,19000,19000,19000,20000,20000,21000,21000,21000,21000,20000,20000,19000,19000,19000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000
中東・北アフリカ,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1000,1100,1100,1000,1000,1000,<1000,1000,1000,<1000,1000,1000,1000,1000,1000,1000,1100,1100,1200,1300,1400,1500,1700,1900,2200,2500
西部・中部アフリカ,43000,46000,49000,51000,54000,54000,55000,53000,52000,49000,47000,44000,42000,39000,37000,36000,34000,33000,31000,30000,29000,28000,26000,24000,22000,21000,20000,19000,18000,18000,16000,15000,14000,13000
西・中央ヨーロッパおよび北米,16000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14000,14000,14000,14000,13000,12000,12000,12000,11000,11000,10000,9500,9100,8800,8500,8200,7700,7500,7500
世界,360000,380000,390000,390000,410000,410000,400000,390000,370000,350000,340000,340000,330000,320000,320000,310000,300000,290000,280000,270000,260000,250000,240000,230000,220000,210000,200000,190000,180000,170000,160000,160000,150000,150000
