西暦,和暦,死亡数,死亡率（人口10万対）
1900,明治33年,71771,163.7
1901,34,76614,172.7
1902,35,82559,183.6
1903,36,85132,186.9
1904,37,87260,189.1
1905,38,96030,206.0
1906,39,96069,204.2
1907,40,96584,203.7
1908,41,98871,206.1
1909,42,113622,234.0
1910,43,113203,230.2
1911,44,110722,222.1
1912,大正1,114197,225.8
1913,2,110753,215.9
1914,3,113341,217.8
1915,4,115913,219.7
1916,5,121810,227.7
1917,6,124787,230.5
1918,7,140747,257.1
1919,8,132565,240.9
1920,9,125165,223.7
1921,10,120719,213.0
1922,11,125506,218.7
1923,12,118216,203.4
1924,13,114229,194.0
1925,14,115956,194.1
1926,昭和1,113045,186.1
1927,2,119439,193.7
1928,3,119632,191.1
1929,4,123490,194.6
1930,5,119635,185.6
1931,6,121875,186.2
1932,7,119196,179.4
1933,8,126703,187.9
1934,9,131525,192.5
1935,10,132151,190.8
1936,11,145160,207.0
1937,12,144620,204.8
1938,13,148827,209.6
1939,14,154371,216.3
1940,15,153154,212.9
1941,16,154344,215.3
1942,17,161484,223.1
1943,18,171474,235.3
1944,19,,
1945,20,,
1946,21,,
1947,22,146241,187.2
1948,23,143909,179.9
1949,24,138113,168.9
1950,25,121769,146.4
1951,26,93307,110.3
1952,27,70558,
1953,28,57849,
1954,29,55124,
1955,30,46735,
1956,31,43874,
1957,32,42718,
1958,33,36274,
1959,34,32992,
1960,昭和35,31959,
1961,36,27916,
1962,37,27852,
1963,38,23302,
1964,39,22929,
1965,40,22366,
1966,41,20064,
1967,42,17708,
1968,43,16922,
1969,44,16392,
1970,45,15899,
1971,46,13608,
1972,47,12565,
1973,48,11965,
1974,49,11418,
1975,50,10567,
1976,51,9578,
1977,52,8803,
1978,53,8261,
1979,54,6738,
1980,55,6439,
1981,56,5698,
1982,57,5343,
1983,58,5329,
1984,59,4950,
1985,60,4692,
1986,61,4170,
1987,62,4022,
1988,63,3872,
1989,平成1,3527,
1990,2,3664,
1991,3,3325,
1992,4,3347,
1993,5,3249,
1994,6,3094,
1995,7,3178,
1996,8,2858,
1997,9,2742,
1998,10,2795,
1999,11,2935,
2000,12,2656,
2001,13,2491,
2002,14,2317,
2003,15,2337,
2004,16,2330,
2005,17,2296,
2006,18,2269,
2007,19,2194,
2008,20,2220,
2009,21,2159,
2010,22,2129,
2011,23,2166,
2012,24,2110,
2013,25,2087,
2014,26,2100,
2015,27,1956,
2016,28,1892,
2017,29,2306,
2018,30,2204,
2019,令和1,2088,
